ict_id,source_ict_id,source_cell_id,dataset_id,country_code,lat,lon,admin1,admin2,admin3,operator_name,radio_type,downlink_frequency_mhz,uplink_frequency_mhz,max_channel_bandwidth_mhz,eirp_dbm,tower_height,antenna_height,mechanical_tilt_degrees,electrical_tilt_degrees,azimuth_degrees,antenna_model,antenna_gain,antenna_horizontal_beamwidth_degrees,antenna_vertical_beamwidth_degrees,backhaul_type,backhaul_throuput_mbps,power_source
f7fedc1a-e199-41e9-96e0-78675620b0d7,CT27,,STP-1713438795-bivd,STP,0.354541667,6.720925,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
a162c8e5-9c14-4cc7-b86c-577f1b841be0,CT28,,STP-1713438795-bivd,STP,0.264911111,6.468286111,,,,UNITEL,4G,2600,2600,,,,25,,,,,,,,MW,,
81a854f8-b4f2-467b-a6af-f364df0d84c5,CT29,,STP-1713438795-bivd,STP,0.246911111,6.737127778,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
d125c876-4b51-4c6d-afb0-4a6acd1e49a8,CT30,,STP-1713438795-bivd,STP,0.361488889,6.688144444,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
472016df-0dbd-4f09-93c1-aec178f80aa9,CT31,,STP-1713438795-bivd,STP,1.6398,7.419341667,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica/MW,,
86b1c7a8-af2e-4c7e-80b5-e18919279718,CT32,,STP-1713438795-bivd,STP,0.299052778,6.633444444,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
b33ae3e3-a80a-4ad9-93a3-9d6ffe5eb1f5,CT33,,STP-1713438795-bivd,STP,0.319611111,6.737327778,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
7c4d5ac9-c381-485e-9c3f-99fbb062c837,CT34,,STP-1713438795-bivd,STP,0.337308333,6.732319444,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
226b6f88-aac8-41af-8c88-6fd30b561afa,CT35,,STP-1713438795-bivd,STP,0.338797222,6.725855556,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
73bb6aab-dbdc-4076-ac28-2e94bcef4508,CT36,,STP-1713438795-bivd,STP,1.662977778,7.379266667,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica/MW,,
897f66c3-91fb-4a9d-ad8b-90026b48fa4f,CT37,,STP-1713438795-bivd,STP,0.296719444,6.682838889,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
e8ae63b1-3538-4b94-843f-332be047c336,CT38,,STP-1713438795-bivd,STP,0.097330556,6.58645,,,,CST,4G,2600,2600,,,,25,,,,,,,,MW,,
